TSUNAMI FORECAST WARNING POINTS,Updated 12/16/2020,,,
LOCATION,STATE,ZONE,COMMENTS,NTWC comments
La Jolla,California,CAZ043,,
San Pedro,California,CAZ041,,
Santa Barbara,California,CAZ035,,
Port San Luis,California,CAZ034,,
San Francisco,California,CAZ509,Assuming 509 (SF Peninsula Coast) rather than 508 (SF Bay),509 is correct
Crescent City,California,CAZ101,,
Seaside,Oregon,ORZ001,,
Westport,Washington,WAZ517,,
Neah Bay,Washington,WAZ516,,
Tofino,British Columbia,,No zones for Canada right?,*Canada uses alphabetic zones for BC.
Craig,Alaska,AKZ027,,
Sitka,Alaska,AKZ023,,
Elfin Cove,Alaska,AKZ022,,
Yakutat,Alaska,AKZ017,,
Cordova,Alaska,AKZ135,On southeast Prince William Sound?,Yes
Valdez,Alaska,AKZ131,,
Seward,Alaska,AKZ125,,
Homer,Alaska,AKZ121,,
Kodiak,Alaska,AKZ171,,
Sand Point,Alaska,AKZ181,,
Cold Bay,Alaska,AKZ181,,
Saint Paul,Alaska,AKZ195,,
Unalaska,Alaska,AKZ185,,
Adak,Alaska,AKZ187,,
Shemya,Alaska,AKZ191,,
Pati Point,Guam,GUZ001,,
Inarajan,Guam,GUZ001,,
Pago Bay,Guam,GUZ001,,
Apra Harbor,Guam,GUZ001,,
Wing Beach,Saipan,GUZ002,,
Garapan,Saipan,GUZ002,,
Obyan,Saipan,GUZ002,,
Long Beach,Tinian,GUZ003,,
Chulu Beach,Tinian,GUZ003,,
San Jose,Tinian,GUZ003,,
Aratsu Bay,Rota,GUZ004,,
Mochon Beach,Rota,GUZ004,,
Songsong,Rota,GUZ004,,
Tafuna,Tutuila,ASZ001,,
Leone,Tutuila,ASZ001,,
Fagamalo,Tutuila,ASZ001,,
Fagasa,Tutuila,ASZ001,,
Amanave,Tutuila,ASZ001,,
Pago pago,Tutuila,ASZ001,,
Vatia,Tutuila,ASZ001,,
Masefau,Tutuila,ASZ001,,
Pagai,Tutuila,ASZ001,,
Aumi,Tutuila,ASZ001,,
Tula,Tutuila,ASZ001,,
Aunuu Island,Aunuu,ASZ001,,
Tau Island,Manua,ASZ001,,
Ofu Island,Manua,ASZ001,,
Olesega Island,Manua,ASZ001,,
Swains Island,Swains,ASZ001,,
Battle Harbour,Labrador,,,
Cape Makkovik,Labrador,,,
Bonavista,Newfoundland,,,
Saint Lawrence,Newfoundland,,,
Scatarie Island,Nova Scotia,,,
Grand Manan Island,New Brunswick,,,
Lockeport,Nova Scotia,,,
Portland,Maine,MEZ024,,
Boston,Massachusetts,MAZ015,,
Nantucket,Massachusetts,MAZ024,,
Montauk,New York,NYZ081,,
Manhattan,New York,NYZ072,,
Atlantic City,New Jersey,NJZ025,,
Virginia Beach,Virginia,VAZ098,,
Cape Hatteras,North Carolina,NCZ205,,
Myrtle Beach,South Carolina,SCZ054,,
Charleston,South Carolina,SCZ050,,
Savannah,Georgia,GAZ118,,
Jacksonville Beach,Florida,FLZ125,,
Daytona,Florida,FLZ141,,
Melbourne Beach,Florida,FLZ047,,
Miami,Florida,FLZ173,,
Key West,Florida,FLZ078,,
Saint Petersburg,Florida,FLZ050,,
Panama City,Florida,FLZ112,,
Biloxi,Mississippi,MSZ081,,
Galveston,Texas,TXZ438,,
Corpus Christi,Texas,TXZ443,,
Port Aransas,Texas,TXZ443,,
