 00.0N  00.0W === EASTERN ATLANTIC ===
 16.0N  24.0W THE CABO VERDE ISLANDS
 14.8N  24.4W THE SOUTHERNMOST CABO VERDE ISLANDS
 38.0N  27.0W THE AZORES
 38.6N  28.7W FAIAL ISLAND IN THE CENTRAL AZORES
 38.8N  27.1W LAJES AIR BASE IN THE AZORES
 00.0N  00.0W === ISLANDS ===
 32.3N  64.8W BERMUDA
 15.4N  61.3W THE LESSER ANTILLES
 10.4N  61.3W THE SOUTHERN WINDWARD ISLANDS
 13.0N  61.0W THE WINDWARD ISLANDS
 17.1N  61.8W THE LEEWARD ISLANDS
 18.2N  63.1W THE NORTHERN LEEWARD ISLANDS
 10.4N  61.3W TRINIDAD
 12.1N  61.7W GRENADA
 13.2N  59.5W BARBADOS
 13.3N  61.2W ST. VINCENT
 13.8N  61.0W ST. LUCIA
 14.7N  61.0W MARTINIQUE
 15.4N  61.3W DOMINICA
 16.3N  61.4W GUADELOUPE
 17.1N  61.8W ANTIGUA
 18.1N  63.1W ST. MARTIN
 17.6N  61.8W BARBUDA
 18.2N  63.1W ANGUILLA
 17.7N  64.8W ST. CROIX
 18.4N  65.0W ST. THOMAS
 18.4N  66.1W SAN JUAN PUERTO RICO
 18.0N  66.6W PONCE PUERTO RICO
 00.0N  00.0W === HISPANIOLA ===
 18.5N  69.9W SANTO DOMINGO DOMINICAN REPUBLIC
 19.8N  70.7W PUERTO PLATA DOMINICAN REPUBLIC
 18.6N  68.4W PUNTA CANA DOMINICAN REPUBLIC
 17.6N  71.5W ISLA BEATA DOMINICAN REPUBLIC
 18.2N  68.7W ISLA SAONA DOMINICAN REPUBLIC
 18.6N  72.3W PORT AU PRINCE HAITI
 19.8N  72.2W CAP HAITIEN HAITI
 00.0N  00.0W === JAMAICA===
 18.0N  76.8W KINGSTON JAMAICA
 18.5N  77.9W MONTEGO BAY JAMAICA
 18.3N  78.3W NEGRIL JAMAICA
 00.0N  00.0W === CAYMAN ISLANDS ===
 19.3N  81.2W GRAND CAYMAN
 00.0N  00.0W === CUBAN POINTS ===
 20.2N  74.2W THE EASTERN TIP OF CUBA 
 21.9N  84.9W THE WESTERN TIP OF CUBA 
 20.2N  75.2W GUANTANAMO CUBA
 21.4N  77.9W CAMAGUEY CUBA
 23.2N  82.4W HAVANA CUBA
 22.5N  79.5W CAIBARIEN CUBA
 23.1N  81.2W VARADERO CUBA 
 13.4N  81.4W ISLA DE PROVIDENCIA COLOMBIA
 12.4N  71.5W NTHRN TIP OF GUAJAIRA PNSULA COLOMBIA
 19.8N  77.7W CABO CRUZ 
 21.6N  81.5W CAYO LARGO 
 21.6N  82.8W THE ISLE OF YOUTH
 00.0N  00.0W === BAHAMA POINTS ===
 22.4N  72.9W THE SOUTHEASTERN BAHAMAS
 23.6N  75.8W THE CENTRAL BAHAMAS
 25.0N  77.4W THE NORTHWESTERN BAHAMAS
 21.5N  71.1W GRAND TURK ISLAND
 21.1N  73.2W GREAT INAGUA ISLAND
 23.3N  75.1W LONG ISLAND
 23.6N  75.8W GREAT EXUMA ISLAND
 24.0N  74.5W SAN SALVADOR
 25.1N  76.2W ELEUTHERA ISLAND
 25.0N  77.4W NASSAU
 26.4N  77.1W GREAT ABACO ISLAND
 26.5N  78.8W FREEPORT GRAND BAHAMA ISLAND
 12.3N  69.0W CURACAO
 00.0N  00.0W === CENTRAL AMERICAN POINTS ===
 10.4N  79.9W COLON PANAMA
 10.0N  83.0W LIMON COSTA RICA
 12.0N  83.8W BLUEFIELDS NICARAGUA
 14.0N  83.4W PUERTO CABEZAS NICARAGUA
 15.0N  83.2W CABO GRACIAS A DIOS ON NIC/HON BORDER
 15.8N  86.8W LA CEIBA HONDURAS
 16.3N  86.6W ISLA ROATAN HONDURAS
 16.5N  85.9W ISLA GUANAJA HONDURAS
 12.5N  81.7W SAN ANDRES ISLAND
 15.8N  85.6W LIMON HONDURAS
 16.3N  88.5W MONKEY RIVER TOWN BELIZE
 17.5N  88.2W BELIZE CITY
 00.0N  00.0W === MEXICAN POINTS ===
 18.5N  88.3W CHETUMAL MEXICO
 20.2N  87.5W TULUM MEXICO
 20.5N  86.9W COZUMEL MEXICO
 21.3N  89.7W PROGRESO MEXICO
 19.9N  90.5W CAMPECHE MEXICO
 18.2N  94.4W COATZACOALCOS MEXICO
 19.2N  96.2W VERACRUZ MEXICO
 21.0N  97.4W TUXPAN MEXICO
 21.6N  87.0W CABO CATOCHE MEXICO
 22.2N  97.9W TAMPICO MEXICO
 23.8N  97.8W LA PESCA MEXICO
 25.8N  97.5W MATAMOROS MEXICO
 00.0N  00.0W === TEXAS ===
 25.9N  97.5W BROWNSVILLE TEXAS
 26.6N  97.4W PORT MANSFIELD TEXAS
 27.8N  97.4W CORPUS CHRISTI TEXAS
 28.4N  96.4W PORT OCONNOR TEXAS
 28.6N  96.0W MATAGORDA TEXAS
 28.9N  95.4W FREEPORT TEXAS
 29.3N  94.8W GALVESTON TEXAS
 29.7N  95.4W HOUSTON TEXAS
 29.9N  93.9W PORT ARTHUR TEXAS 
 00.0N  00.0W === LOUISIANA ===
 29.7N  91.2W MORGAN CITY LOUISIANA
 29.6N  90.7W HOUMA LOUISIANA
 30.2N  92.0W LAFAYETTE LOUISIANA
 30.0N  90.1W NEW ORLEANS LOUISIANA
 29.1N  89.1W THE MOUTH OF THE MISSISSIPPI RIVER
 00.0N  00.0W === MISSISSIPPI ===
 30.4N  88.9W BILOXI MISSISSIPPI
 30.4N  88.5W PASCAGOULA MISSISSIPPI
 00.0N  00.0W === ALABAMA ===
 30.7N  88.1W MOBILE ALABAMA
 00.0N  00.0W === FLORIDA (WEST) ===
 30.5N  87.2W PENSACOLA FLORIDA
 30.4N  86.6W FORT WALTON BEACH FLORIDA
 30.2N  85.7W PANAMA CITY FLORIDA
 29.7N  85.0W APALACHICOLA FLORIDA
 30.4N  84.3W TALLAHASSEE FLORIDA
