NUM TECH ERRS RETIRED COLOR DEFAULTS INT-DEFS RADII-DEFS LONG-NAME
 00 CARQ   0      0     0      0        0         0                 Combined ARQ Position
 00 WRNG   0      0     0      0        0         0                 Warning
 03 OFCL   1      0    12      1        1         1                 NHC official forecast
 03 OFCI   0      0    11      1        1         1                 NHC official forecast (Interpolated 06 hours)
 03 OFC2   0      0    11      1        1         1                 NHC official forecast (Interpolated 12 hours)
 03 OFCP   1      0    11      1        1         1                 NHC provisional forecast
 03 OFPI   0      0    11      1        1         1                 NHC provisional forecast (Interpolated 06 hours)
 03 OFP2   0      0    11      1        1         1                 NHC provisional forecast (Interpolated 12 hours)
 03 OCD5   0      0     5      0        0         0                 Combination of CLP5 and Decay-SHIFOR run on operational inputs
 03 BCD5   0      0     5      0        0         0                 Combination of CLP5 and Decay-SHIFOR run on operational inputs
 03 OHPC   0      0    17      1        0         0                 WPC official forecast
 03 OOPC   0      0    17      1        0         0                 OPC official forecast
 03 JTWC   0      0    17      0        0         0                 JTWC official forecast
 03 JTWI   0      0    17      0        0         0                 JTWC official forecast (Interpolated 06 hours)
 03 XTRP   0      0     5      0        0         0                 Extrapolation using past 12-hr motion
 03 CLIP   0      0     2      0        0         0                 CLImatology-PERsistence model 3-day
 03 CLP5   0      0     2      0        0         0                 CLImatology-PERsistence model 5-day
 03 TCLP   0      0     2      1        0         0                 Trajectory CLIPER model 7-day
 03 BAMD   0      1    26      0        0         0                 Beta and Advection model, deep (NHC)
 03 BAMM   0      1    26      0        0         0                 Beta and Advection model, medium (NHC)
 03 BAMS   0      1    26      0        0         0                 Beta and Advection model, shallow (NHC)
 03 TABD   0      0    26      1        0         0                 Trajectory and Beta Model from GFS, deep (NHC)
 03 TABM   0      0    26      1        0         0                 Trajectory and Beta Model from GFS, medium (NHC)
 03 TABS   0      0    26      1        0         0                 Trajectory and Beta Model from GFS, shallow (NHC)
 03 TBDE   0      0    26      1        0         0                 Trajectory and Beta Model from ECMWF, deep (NHC)
